Ville,Habitants par Salon
toulouse,15639.0
nantes,12580.0
nice,14912.0
strasbourg,13512.0
saint-denis,26.0
saint-denis,15.0
saint-denis,5597.0
saint-denis,7466.0
grenoble,8454.0
montpellier,15189.0
toulon,9145.0
le havre,9559.0
lille,13814.0
annecy,8136.0
perpignan,8112.0
ajaccio,5108.0
dijon,11443.0
cambrai,2371.0
colmar,5397.0
saint-nazaire,104.0
saint-nazaire,5981.0
saint-nazaire,227.0
la rochelle,7078.0
la rochelle,4.0
saint-paul,21.0
saint-paul,87.0
saint-paul,145.0
saint-paul,63.0
saint-paul,29.0
saint-paul,63.0
saint-paul,114.0
saint-paul,14.0
saint-paul,9626.0
aix-en-provence,13243.0
caen,9775.0
bordeaux,23437.0
reims,16871.0
antibes,7416.0
metz,11825.0
rennes,22092.0
le tampon,7970.0
castres,25.0
castres,4308.0
le mans,14578.0
clermont-ferrand,14663.0
arles,5332.0
cherbourg-en-cotentin,8157.0
cannes,7469.0
cagnes-sur-mer,5712.0
valenciennes,4862.0
la seyne-sur-mer,7191.0
amiens,15195.0
bourges,8324.0
rochefort,3106.0
rochefort,30.0
douai,5076.0
boulogne-sur-mer,5165.0
brive-la-gaillarde,6025.0
saint-leu,4254.0
la ciotat,4445.0
cahors,2601.0
limoges,16808.0
mulhouse,13826.0
brest,17844.0
saint-pierre,12.0
saint-pierre,17.0
saint-pierre,31.0
saint-pierre,45.0
saint-pierre,39.0
saint-pierre,82.0
saint-pierre,522.0
saint-pierre,10635.0
chartres,4970.0
cayenne,8806.0
calais,10654.0
pau,11219.0
lisieux,2998.0
la valette-du-var,3447.0
cholet,7970.0
villeurbanne,21251.0
saint-louis,98.0
saint-louis,3065.0
saint-louis,357.0
saint-louis,7708.0
dunkerque,12667.0
millau,3263.0
romilly-sur-seine,2108.0
albi,7251.0
tours,19802.0
avignon,13382.0
beaune,3624.0
vannes,9237.0
martigues,8109.0
draguignan,6706.0
six-fours-les-plages,5570.0
arras,6969.0
bourgoin-jallieu,4837.0
lorient,9770.0
flers,2516.0
flers,38.0
flers,33.0
forbach,3643.0
nancy,17624.0
agde,4837.0
tarbes,7098.0
rouen,18627.0
dieppe,4940.0
brioude,1416.0
talence,8715.0
louviers,3814.0
fort-de-france,16201.0
le port,31.0
le port,6888.0
beauvais,11516.0
bar-le-duc,3117.0
tulle,3093.0
meximieux,1574.0
firminy,3478.0
oyonnax,4589.0
hem,3757.0
maromme,2209.0
melun,8070.0
roanne,7012.0
orange,5913.0
levallois-perret,12984.0
saint-quentin,11020.0
audruicq,1093.0
saint-joseph,386.0
saint-joseph,164.0
saint-joseph,3292.0
saint-joseph,7633.0
angers,31207.0
aubenas,2587.0
mandelieu-la-napoule,4543.0
manosque,4598.0
nevers,6819.0
la croix-valmer,975.0
les pennes-mirabeau,5330.0
gravelines,2846.0
versailles,21975.0
drancy,17901.0
la roche-sur-yon,14342.0
troyes,15707.0
vienne,7421.0
lens,7904.0
wittenheim,3608.0
morlaix,3757.0
le pontet,32.0
le pontet,4421.0
saint-michel-chef-chef,1270.0
cluses,4364.0
saint-junien,2869.0
mauges-sur-loire,4682.0
pierrefeu-du-var,1537.0
pontarlier,4508.0
dole,6152.0
soissons,7294.0
albertville,4863.0
orvault,6770.0
digne-les-bains,4332.0
bernay,2611.0
sarcelles,14712.0
clichy,15345.0
mont-de-marsan,7748.0
montigny-le-bretonneux,8349.0
aix-les-bains,7593.0
istres,10954.0
cavaillon,6769.0
gif-sur-yvette,5498.0
le puy-en-velay,4986.0
maussane-les-alpilles,584.0
maubeuge,7564.0
carqueiranne,2467.0
saumur,6925.0
montauban,15572.0
rodez,6476.0
laon,6387.0
niort,15126.0
nanterre,23935.0
saint-chamond,8881.0
cavalaire-sur-mer,1867.0
carpentras,7286.0
denain,4980.0
aubervilliers,21649.0
roye,396.0
roye,1462.0
saint-amand-les-eaux,4010.0
oloron-sainte-marie,2826.0
champagnole,2086.0
laval,255.0
laval,13071.0
le blanc,1653.0
roquebrune-sur-argens,3615.0
tarnos,3145.0
cours,52.0
cours,1132.0
cours,142.0
carvin,4309.0
bourbon-lancy,1667.0
saint-brevin-les-pins,4701.0
bischoffsheim,1129.0
quimper,21827.0
valentigney,3630.0
tournefeuille,9176.0
rumilly,86.0
rumilly,5247.0
le soler,2607.0
montendre,1099.0
annemasse,12035.0
dorlisheim,893.0
fouras,1361.0
les herbiers,5474.0
neuilly-plaisance,7089.0
cogolin,3997.0
gennevilliers,15723.0
marquise,1716.0
castelnau-le-lez,6937.0
villeneuve-en-retz,1661.0
revel,3298.0
revel,451.0
