Ville,Nombre de Salons,Population,Habitants par Salon
toulouse,31,484809,15639.0
nice,23,342979,14912.0
nantes,25,314503,12580.0
montpellier,19,288600,15189.0
strasbourg,21,283745,13512.0
bordeaux,11,257804,23437.0
lille,17,234842,13814.0
rennes,10,220925,22092.0
reims,11,185576,16871.0
toulon,19,173760,9145.0
le havre,18,172067,9559.0
grenoble,19,160625,8454.0
dijon,14,160204,11443.0
angers,5,156037,31207.0
saint-denis,20,149313,7466.0
villeurbanne,7,148754,21251.0
clermont-ferrand,10,146632,14663.0
le mans,10,145776,14578.0
aix-en-provence,11,145676,13243.0
brest,8,142748,17844.0
tours,7,138616,19802.0
amiens,9,136754,15195.0
limoges,8,134460,16808.0
annecy,16,130175,8136.0
perpignan,15,121681,8112.0
boulogne-billancourt,1,121249,121249.0
metz,10,118253,11825.0
saint-denis,20,111948,5597.0
rouen,6,111760,18627.0
argenteuil,3,110839,36946.0
mulhouse,8,110612,13826.0
montreuil,3,110474,36825.0
caen,11,107523,9775.0
saint-paul,11,105887,9626.0
nancy,6,105743,17624.0
tourcoing,2,98028,49014.0
roubaix,1,97492,97492.0
nanterre,4,95739,23935.0
vitry-sur-seine,3,94059,31353.0
avignon,7,93671,13382.0
poitiers,1,90703,90703.0
dunkerque,7,88667,12667.0
versailles,4,87900,21975.0
aubervilliers,4,86597,21649.0
colombes,2,85775,42888.0
saint-pierre,8,85083,10635.0
courbevoie,1,82327,82327.0
cherbourg-en-cotentin,10,81566,8157.0
fort-de-france,5,81006,16201.0
rueil-malmaison,1,79745,79745.0
le tampon,10,79705,7970.0
pau,7,78535,11219.0
champigny-sur-marne,1,77992,77992.0
la rochelle,11,77855,7078.0
cannes,10,74686,7469.0
calais,7,74581,10654.0
antibes,10,74161,7416.0
saint-nazaire,12,71772,5981.0
drancy,4,71605,17901.0
ajaccio,14,71508,5108.0
colmar,13,70158,5397.0
issy-les-moulineaux,1,69277,69277.0
noisy-le-grand,2,68515,34258.0
bourges,8,66589,8324.0
cergy,1,65647,65647.0
