Ville,Nombre de Salons,Population
toulouse,31,484809
nice,23,342979
nantes,25,314503
montpellier,19,288600
strasbourg,21,283745
bordeaux,11,257804
lille,17,234842
rennes,10,220925
reims,11,185576
toulon,19,173760
le havre,18,172067
grenoble,19,160625
dijon,14,160204
angers,5,156037
saint-denis,20,149313
villeurbanne,7,148754
clermont-ferrand,10,146632
le mans,10,145776
aix-en-provence,11,145676
brest,8,142748
tours,7,138616
amiens,9,136754
limoges,8,134460
annecy,16,130175
perpignan,15,121681
boulogne-billancourt,1,121249
metz,10,118253
saint-denis,20,111948
rouen,6,111760
argenteuil,3,110839
mulhouse,8,110612
montreuil,3,110474
caen,11,107523
saint-paul,11,105887
nancy,6,105743
tourcoing,2,98028
roubaix,1,97492
nanterre,4,95739
vitry-sur-seine,3,94059
avignon,7,93671
poitiers,1,90703
dunkerque,7,88667
versailles,4,87900
aubervilliers,4,86597
colombes,2,85775
saint-pierre,8,85083
courbevoie,1,82327
cherbourg-en-cotentin,10,81566
fort-de-france,5,81006
rueil-malmaison,1,79745
le tampon,10,79705
pau,7,78535
champigny-sur-marne,1,77992
la rochelle,11,77855
cannes,10,74686
calais,7,74581
antibes,10,74161
saint-nazaire,12,71772
drancy,4,71605
ajaccio,14,71508
colmar,13,70158
issy-les-moulineaux,1,69277
noisy-le-grand,2,68515
bourges,8,66589
cergy,1,65647
quimper,3,65480
valence,3,65028
levallois-perret,5,64922
la seyne-sur-mer,9,64717
pessac,2,64514
antony,3,63319
troyes,4,62828
montauban,4,62290
cayenne,7,61645
clichy,4,61379
niort,4,60506
sarcelles,4,58849
lorient,6,58617
pantin,1,57668
beauvais,5,57582
la roche-sur-yon,4,57366
maisons-alfort,1,55988
narbonne,3,55876
cholet,7,55787
meaux,3,55461
vannes,6,55422
chelles,1,55195
saint-quentin,5,55098
villejuif,1,55047
les abymes,3,54049
saint-louis,7,53956
fontenay-sous-bois,2,53418
arles,10,53318
sartrouville,1,52433
bayonne,3,52398
laval,4,52284
corbeil-essonnes,2,51572
cagnes-sur-mer,9,51406
grasse,1,51342
sevran,2,51201
massy,1,51142
albi,7,50759
montrouge,2,50481
vincennes,2,50267
vaulx-en-velin,2,49928
suresnes,2,48736
martigues,6,48656
belfort,3,48423
brive-la-gaillarde,8,48202
blois,3,47715
carcassonne,3,47365
saint-malo,3,47362
gennevilliers,3,47169
saint-herblain,3,46998
aubagne,2,46621
saint-germain-en-laye,1,46570
saint-priest,2,46497
bastia,3,46434
salon-de-provence,2,46110
meudon,1,46009
saint-brieuc,2,46006
choisy-le-roi,1,45552
puteaux,1,44905
livry-gargan,1,44661
mantes-la-jolie,1,44528
noisy-le-sec,2,44274
istres,4,43817
caluire-et-cuire,1,43816
valenciennes,9,43755
talence,5,43574
bourg-en-bresse,3,43306
la courneuve,1,43203
castres,10,43082
tarbes,6,42590
gap,1,42487
bron,1,42020
le cannet,1,41864
arras,6,41813
boulogne-sur-mer,8,41320
wattrelos,3,41118
bagneux,1,41111
douai,8,40605
le lamentin,3,40471
melun,5,40348
draguignan,6,40234
chartres,8,39763
gagny,2,39535
stains,1,38823
saint-joseph,5,38166
pontault-combault,1,37994
villepinte,1,36934
savigny-sur-orge,2,36817
tremblay-en-france,2,36345
conflans-sainte-honorine,1,36285
annemasse,3,36105
auxerre,2,35916
creil,1,35884
palaiseau,2,35881
thonon-les-bains,2,35863
la ciotat,8,35563
saint-chamond,4,35524
roanne,5,35059
haguenau,2,35050
athis-mons,1,34724
le port,5,34438
agen,1,34417
sainte-marie,1,34230
le perreux-sur-marne,1,34161
nevers,5,34097
saint-leu,8,34030
meyzieu,2,33725
vitrolles,2,33650
six-fours-les-plages,6,33422
montigny-le-bretonneux,4,33396
la possession,2,33374
cambrai,14,33200
marignane,3,33162
houilles,1,32480
schiltigheim,3,32070
plaisir,2,31808
vigneux-sur-seine,1,31752
lens,4,31614
dreux,2,31605
cachan,1,31542
pontoise,1,31434
baie-mahault,2,31404
mont-de-marsan,4,30994
malakoff,1,30932
goussainville,1,30787
chatou,2,30754
saint-cloud,1,30582
charenton-le-pont,1,30568
aix-les-bains,4,30373
maubeuge,4,30258
villemomble,2,30152
vienne,4,29683
dieppe,6,29638
herblay-sur-seine,1,29571
orange,5,29566
bezons,2,29508
menton,3,29461
la garenne-colombes,1,29414
ermont,1,29348
le plessis-robinson,1,29249
thiais,2,29247
soissons,4,29176
carpentras,4,29144
guyancourt,2,29065
bourgoin-jallieu,6,29024
agde,6,29023
grigny,3,28862
lambersart,1,28051
fresnes,2,27905
villiers-le-bel,1,27808
saumur,4,27701
tournefeuille,3,27529
illkirch-graffenstaden,1,27446
le gosier,1,27096
orvault,4,27082
cavaillon,4,27075
sannois,1,27020
montfermeil,1,26889
vallauris,1,26834
aurillac,3,26828
miramas,1,26827
saintes,1,26813
sucy-en-brie,2,26709
taverny,1,26630
oullins,1,26565
sens,3,26519
lunel,3,26499
vierzon,3,26441
la teste-de-buch,3,26438
villeparisis,1,26429
biarritz,2,26108
le grand-quevilly,2,25945
kourou,1,25913
rodez,4,25905
laon,4,25549
muret,2,25488
eaubonne,1,25430
libourne,2,25400
les ulis,1,25361
champs-sur-marne,1,25195
cenon,2,24975
rochefort,8,24845
dole,4,24606
saint-dizier,2,24570
vernon,1,24530
vichy,3,24523
cormeilles-en-parisis,1,24354
la valette-du-var,7,24131
le bouscat,1,24090
les pavillons-sous-bois,3,24060
sainte-anne,1,23951
sainte-suzanne,2,23704
abbeville,3,23358
lanester,1,23219
chaumont,3,23172
auch,1,23067
manosque,5,22992
frontignan,1,22946
oyonnax,5,22943
millau,7,22844
fontaine,3,22790
mandelieu-la-napoule,5,22715
tassin-la-demi-lune,2,22691
combs-la-ville,1,22556
loos,1,22488
olivet,2,22474
le moule,2,22389
le petit-quevilly,2,22260
hazebrouck,2,21999
gif-sur-yvette,4,21994
le creusot,2,21935
forbach,6,21858
beaune,6,21747
montmorency,1,21732
saint-genis-laval,1,21695
gujan-mestras,3,21602
lagny-sur-marne,1,21601
dax,3,21512
saint-louis,7,21457
coudekerque-branche,1,21428
longjumeau,2,21390
saint-jean-de-braye,3,21349
les pennes-mirabeau,4,21321
challans,2,21318
croix,1,21317
fleury-les-aubrais,1,21305
neuilly-plaisance,3,21268
sarreguemines,1,21232
gardanne,1,21143
morsang-sur-orge,1,21083
lisieux,7,20986
halluin,3,20927
saint-gratien,1,20859
lannion,2,20852
chaville,2,20845
castelnau-le-lez,3,20810
cahors,8,20808
pertuis,2,20730
wasquehal,1,20705
voiron,2,20603
mantes-la-ville,1,20592
bressuire,3,20533
montereau-fault-yonne,1,20400
nogent-sur-oise,2,20395
chilly-mazarin,2,20320
carquefou,2,20238
moulins,2,20227
givors,2,20089
la chapelle-sur-erdre,1,20044
riom,2,19999
le puy-en-velay,4,19944
denain,4,19921
mougins,2,19865
bouguenais,2,19609
chevilly-larue,2,19578
albertville,4,19453
ronchin,1,19349
joinville-le-pont,2,19282
cognac,3,19275
louviers,5,19069
royan,2,18949
sorgues,2,18924
saint-fons,1,18859
montceau-les-mines,2,18789
hem,5,18783
vence,2,18769
bruz,1,18734
mauges-sur-loire,4,18730
la crau,1,18706
maurepas,1,18543
ploemeur,2,18536
lingolsheim,1,18496
verdun,3,18449
capesterre-belle-eau,2,18417
soisy-sous-montmorency,1,18341
garches,1,18284
marmande,3,18280
romorantin-lanthenay,2,18246
cugnaux,1,18197
brie-comte-robert,1,18133
pontarlier,4,18033
lons-le-saunier,1,18023
faches-thumesnil,1,17955
moissy-cramayel,1,17839
avion,1,17762
le pontet,4,17685
ducos,1,17657
brignoles,1,17532
cluses,4,17454
firminy,5,17389
digne-les-bains,4,17329
carvin,4,17235
cestas,1,17181
osny,1,17135
mauguio,2,17099
annonay,1,16956
limay,1,16932
saint-maximin-la-sainte-baume,3,16888
hendaye,1,16881
sanary-sur-mer,1,16843
bry-sur-marne,1,16805
juvisy-sur-orge,1,16795
yutz,1,16791
orsay,2,16753
sallanches,1,16603
saint-joseph,5,16460
les herbiers,3,16421
blanquefort,2,16418
landerneau,1,16398
elbeuf,2,16308
loire-authion,1,16294
jouy-le-moutier,1,16157
pamiers,2,16145
toul,3,16113
sainte-marie,1,16082
pointe-à-pitre,2,16048
hennebont,3,16041
saint-amand-les-eaux,4,16041
verneuil-sur-seine,1,15982
hayange,1,15972
saint-avold,2,15860
sin-le-noble,1,15799
rumilly,3,15741
vesoul,2,15728
domont,1,15718
fos-sur-mer,2,15654
gaillac,3,15621
bar-le-duc,5,15585
pontivy,1,15544
tulle,5,15464
villeneuve-loubet,2,15425
pornic,2,15407
saint-just-saint-rambert,2,15353
noisiel,1,15333
fontainebleau,1,15323
rive-de-gier,3,15299
montesson,1,15289
issoire,3,15226
montargis,2,15212
flers,6,15093
coulommiers,2,15076
bailleul,1,15039
morlaix,4,15028
tarascon,2,14953
bouc-bel-air,2,14946
senlis,1,14878
illzach,1,14862
guipavas,1,14857
romilly-sur-seine,7,14756
wattignies,1,14743
dinan,1,14741
caudry,2,14739
ramonville-saint-agne,2,14725
hautmont,2,14675
laxou,1,14658
mennecy,1,14651
biscarrosse,1,14561
berck,3,14519
saint-julien-en-genevois,1,14476
francheville,1,14464
roquebrune-sur-argens,4,14459
pont-à-mousson,1,14446
wittenheim,4,14430
woippy,3,14353
thouars,2,14341
castelsarrasin,1,14267
douarnenez,1,14265
argentan,1,14208
sainte-maxime,2,14183
bois-guillaume,2,14171
rixheim,1,14114
saint-brevin-les-pins,3,14104
fameck,1,14056
auray,1,14016
ollioules,2,13972
valbonne,1,13850
noyon,3,13831
morangis,2,13802
pierrelatte,2,13752
saint-gilles,2,13711
plougastel-daoulas,1,13698
lourdes,1,13692
mions,1,13661
saint-martin-de-crau,2,13656
tergnier,2,13642
fontenay-le-fleury,1,13622
outreau,2,13596
amilly,1,13577
audincourt,2,13569
mayenne,1,13551
roncq,1,13501
bayeux,1,13491
vaires-sur-marne,1,13467
montataire,1,13419
anzin,2,13400
moissac,2,13378
lieusaint,1,13366
creutzwald,3,13330
val-de-reuil,3,13327
nemours,3,13215
cusset,1,13142
monteux,3,13131
bonneville,2,13010
riedisheim,1,12998
amboise,1,12981
mende,2,12967
freyming-merlebach,2,12960
aubenas,5,12933
graulhet,1,12856
roquebrune-cap-martin,1,12826
bischwiller,1,12663
raismes,2,12662
claye-souilly,1,12631
tarnos,4,12580
moret-loing-et-orvanne,2,12552
comines,1,12446
le chambon-feugerolles,1,12408
la motte-servolex,2,12390
canet-en-roussillon,3,12376
sarrebourg,3,12351
rognac,1,12330
chauny,1,12317
bully-les-mines,3,12234
issoudun,1,12199
thiers,2,12169
castelnaudary,2,12136
provins,1,12125
yvetot,1,12123
triel-sur-seine,1,12108
saint-gaudens,1,12082
la queue-en-brie,2,12061
florange,1,12054
barentin,3,12034
fonsorbes,2,12015
vidauban,2,12011
la hague,1,11998
cogolin,3,11992
oissel,2,11981
marly,2,11977
ifs,1,11962
talant,1,11924
ploufragan,3,11898
andernos-les-bains,1,11897
aubergenville,2,11881
stiring-wendel,1,11742
vauvert,1,11742
obernai,2,11738
le relecq-kerhuon,2,11705
gisors,2,11704
la roche-sur-foron,2,11683
apt,2,11662
brignais,1,11610
sassenage,1,11577
longuenesse,1,11563
cuers,3,11557
bolbec,2,11553
saverne,1,11548
chevigny-saint-sauveur,1,11539
arcachon,1,11528
saint-junien,4,11475
mainvilliers,1,11462
voisins-le-bretonneux,1,11426
guebwiller,2,11414
gravelines,4,11386
saint-saulve,2,11353
passy,2,11319
oloron-sainte-marie,4,11305
craponne,3,11253
lavaur,1,11229
allonnes,1,11206
guilherand-granges,2,11204
juvignac,1,11203
le haillan,1,11197
panazol,1,11180
orthez,3,11106
riorges,2,11070
maromme,5,11045
wambrechies,2,11036
beaumont,2,11023
sainte-savine,2,11011
dourdan,1,10990
pornichet,1,10962
boulazac isle manoire,1,10932
valentigney,3,10889
tarare,1,10863
montlouis-sur-loire,1,10817
fondettes,1,10799
trets,2,10775
erstein,1,10754
saint-cyprien,2,10677
villebon-sur-yvette,1,10657
chantepie,1,10653
parthenay,1,10652
saint-claude,3,10623
limoux,3,10614
douchy-les-mines,2,10598
dinard,2,10572
cesson,1,10558
la chapelle-saint-mesmin,1,10550
la riche,2,10543
pont-saint-esprit,3,10519
wittelsheim,1,10517
villecresnes,2,10516
chassieu,1,10505
pont-audemer,2,10475
figeac,2,10473
mazamet,2,10463
chanteloup-les-vignes,1,10455
gerzat,1,10453
bernay,4,10443
le pradet,1,10415
ormesson-sur-marne,1,10406
neuville-en-ferrain,1,10350
aniche,1,10348
auchel,2,10344
marly,2,10342
fuveau,2,10338
carentan-les-marais,3,10306
chambly,2,10305
jeumont,1,10285
thorigny-sur-marne,1,10266
montigny-en-gohelle,2,10258
lescar,3,10225
tinqueux,3,10169
buxerolles,1,10165
nogent-le-rotrou,1,10156
ussel,3,10124
albert,1,10102
croissy-sur-seine,2,10101
brumath,1,10089
biot,2,10084
mios,2,10078
saint-max,2,10075
sainte-luce,1,10037
mouans-sartoux,2,10019
lillers,3,10014
blain,3,9963
dombasle-sur-meurthe,1,9926
saint-pierre-du-mont,1,9924
lambesc,2,9919
le beausset,1,9907
revel,3,9893
fouesnant,1,9887
pernes-les-fontaines,2,9883
arques,1,9882
divonne-les-bains,1,9878
carqueiranne,4,9868
foix,2,9863
villerupt,1,9843
grand-couronne,1,9842
portet-sur-garonne,1,9841
villeneuve-tolosane,2,9838
oignies,2,9817
merville,1,9811
redon,1,9810
petit-caux,1,9755
sallaumines,1,9752
charvieu-chavagneux,1,9740
grigny,3,9734
le passage,1,9732
coutances,2,9705
beaumont-sur-oise,1,9669
aizenay,1,9665
carmaux,2,9659
voreppe,1,9655
paray-le-monial,2,9639
saint-claude,3,9577
leers,1,9552
molsheim,1,9526
jarville-la-malgrange,1,9523
saint-esprit,1,9520
belley,1,9499
couzeix,1,9426
gignac-la-nerthe,1,9409
le portel,1,9343
crosne,2,9289
lorgues,1,9278
ouistreham,1,9229
vallet,1,9185
frouzins,1,9177
tomblaine,1,9164
monistrol-sur-loire,2,9138
lamorlaye,2,9117
veauche,1,9088
meulan-en-yvelines,2,9065
capbreton,3,9058
aulnoye-aymeries,1,9049
elne,3,9049
lillebonne,1,9046
le rheu,2,9027
chamonix-mont-blanc,1,8996
