Ville,Nombre de Salons
toulouse,31
nantes,25
nice,23
strasbourg,21
saint-denis,20
grenoble,19
montpellier,19
toulon,19
le havre,18
lille,17
annecy,16
perpignan,15
ajaccio,14
dijon,14
cambrai,14
colmar,13
saint-nazaire,12
la rochelle,11
saint-paul,11
aix-en-provence,11
caen,11
bordeaux,11
paris 12,11
reims,11
besancon,10
antibes,10
metz,10
rennes,10
beziers,10
le tampon,10
castres,10
frejus,10
le mans,10
clermont-ferrand,10
saint-raphael,10
arles,10
cherbourg-en-cotentin,10
cannes,10
paris 15,9
cagnes-sur-mer,9
valenciennes,9
la seyne-sur-mer,9
amiens,9
bourges,8
rochefort,8
les sables d'olonne,8
douai,8
boulogne-sur-mer,8
compiegne,8
saint-etienne,8
nimes,8
brive-la-gaillarde,8
saint-leu,8
la ciotat,8
paris 20,8
angouleme,8
cahors,8
limoges,8
mulhouse,8
brest,8
paris 11,8
saint-pierre,8
chartres,8
cayenne,7
calais,7
pau,7
lisieux,7
la valette-du-var,7
paris 17,7
cholet,7
hyeres,7
villeurbanne,7
paris 10,7
saint-louis,7
dunkerque,7
millau,7
romilly-sur-seine,7
albi,7
tours,7
avignon,7
orleans,7
alencon,7
charleville-mezieres,6
paris 19,6
beaune,6
chateauroux,6
sevremoine,6
vannes,6
chateau-gontier-sur-mayenne,6
montelimar,6
epernay,6
martigues,6
draguignan,6
six-fours-les-plages,6
macon,6
fougeres,6
arras,6
bourgoin-jallieu,6
lorient,6
flers,6
forbach,6
nancy,6
agde,6
tarbes,6
rouen,6
dieppe,6
brioude,5
marseille 10,5
talence,5
marseille 4,5
louviers,5
fort-de-france,5
le port,5
beauvais,5
paris 18,5
bar-le-duc,5
tulle,5
saint-maur-des-fosses,5
meximieux,5
firminy,5
oyonnax,5
hem,5
maromme,5
melun,5
roanne,5
orange,5
levallois-perret,5
saint-quentin,5
saint pierre,5
reze,5
audruicq,5
saint-joseph,5
angers,5
paris 13,5
epinal,5
port-saint-louis-du-rhone,5
montpon-menesterol,5
saint pierre d'oleron,5
aubenas,5
mandelieu-la-napoule,5
manosque,5
villefranche-sur-saone,5
nevers,5
la croix-valmer,4
les pennes-mirabeau,4
gravelines,4
versailles,4
drancy,4
l'isle-jourdain,4
chalons-en-champagne,4
la roche-sur-yon,4
troyes,4
vienne,4
lens,4
wittenheim,4
morlaix,4
le pontet,4
paris 9,4
saint-michel-chef-chef,4
cluses,4
saint-junien,4
mauges-sur-loire,4
pierrefeu-du-var,4
pontarlier,4
dole,4
soissons,4
albertville,4
orvault,4
digne-les-bains,4
bernay,4
ales,4
vedene,4
evreux,4
annoeullin,4
sarcelles,4
clichy,4
bollene,4
armentieres,4
paris 1,4
marseille 13,4
mont-de-marsan,4
amneville,4
montigny-le-bretonneux,4
aix-les-bains,4
bourg-de-peage,4
beaupreau-en-mauges,4
perigueux,4
chalon-sur-saone,4
istres,4
sollies-pont,4
cavaillon,4
gif-sur-yvette,4
le puy-en-velay,4
paris 4,4
maussane-les-alpilles,4
maubeuge,4
carqueiranne,4
saumur,4
saint-leonard,4
montauban,4
rodez,4
laon,4
niort,4
chamalieres,4
bruay-la-buissiere,4
nanterre,4
saint-chamond,4
cavalaire-sur-mer,4
carpentras,4
denain,4
l'isle-sur-la-sorgue,4
aubervilliers,4
roye,4
saint-amand-les-eaux,4
oloron-sainte-marie,4
la ferte-bernard,4
champagnole,4
laval,4
le blanc,4
roquebrune-sur-argens,4
tarnos,4
chambery,4
cours,4
carvin,4
l'isle d'espagnac,3
bourbon-lancy,3
saint-brevin-les-pins,3
bischoffsheim,3
saint-hilaire-du-harcouet,3
bethune,3
quimper,3
valentigney,3
tournefeuille,3
rumilly,3
le soler,3
montendre,3
annemasse,3
dorlisheim,3
fouras,3
saint-remy-de-provence,3
les herbiers,3
marseille 7,3
paris 3,3
neuilly-plaisance,3
cogolin,3
villers-outreaux,3
sete,3
gennevilliers,3
saint-francois,3
marquise,3
la roque d'antheron,3
castelnau-le-lez,3
villeneuve-en-retz,3
revel,3
cognac,3
avallon,3
sens,3
blois,3
meru,3
cuers,3
cesson-sevigne,3
