Ville,Nombre de Salons,Population
toulouse,31,484809
nantes,25,314503
nice,23,342979
strasbourg,21,283745
saint-denis,20,524
saint-denis,20,303
saint-denis,20,111948
saint-denis,20,149313
grenoble,19,160625
montpellier,19,288600
toulon,19,173760
le havre,18,172067
lille,17,234842
annecy,16,130175
perpignan,15,121681
ajaccio,14,71508
dijon,14,160204
cambrai,14,33200
colmar,13,70158
saint-nazaire,12,1248
saint-nazaire,12,71772
saint-nazaire,12,2728
la rochelle,11,77855
la rochelle,11,39
saint-paul,11,227
saint-paul,11,952
saint-paul,11,1592
saint-paul,11,695
saint-paul,11,318
saint-paul,11,698
saint-paul,11,1259
saint-paul,11,159
saint-paul,11,105887
aix-en-provence,11,145676
caen,11,107523
bordeaux,11,257804
reims,11,185576
antibes,10,74161
metz,10,118253
rennes,10,220925
le tampon,10,79705
castres,10,249
castres,10,43082
le mans,10,145776
clermont-ferrand,10,146632
arles,10,53318
cherbourg-en-cotentin,10,81566
cannes,10,74686
cagnes-sur-mer,9,51406
valenciennes,9,43755
la seyne-sur-mer,9,64717
amiens,9,136754
bourges,8,66589
rochefort,8,24845
rochefort,8,242
douai,8,40605
boulogne-sur-mer,8,41320
brive-la-gaillarde,8,48202
saint-leu,8,34030
la ciotat,8,35563
cahors,8,20808
limoges,8,134460
mulhouse,8,110612
brest,8,142748
saint-pierre,8,98
saint-pierre,8,136
saint-pierre,8,247
saint-pierre,8,362
saint-pierre,8,309
saint-pierre,8,657
saint-pierre,8,4178
saint-pierre,8,85083
chartres,8,39763
cayenne,7,61645
calais,7,74581
pau,7,78535
lisieux,7,20986
la valette-du-var,7,24131
cholet,7,55787
villeurbanne,7,148754
saint-louis,7,685
saint-louis,7,21457
saint-louis,7,2501
saint-louis,7,53956
dunkerque,7,88667
millau,7,22844
romilly-sur-seine,7,14756
albi,7,50759
tours,7,138616
avignon,7,93671
beaune,6,21747
vannes,6,55422
martigues,6,48656
draguignan,6,40234
six-fours-les-plages,6,33422
arras,6,41813
bourgoin-jallieu,6,29024
lorient,6,58617
flers,6,15093
flers,6,230
flers,6,198
forbach,6,21858
nancy,6,105743
agde,6,29023
tarbes,6,42590
rouen,6,111760
dieppe,6,29638
brioude,5,7081
talence,5,43574
louviers,5,19069
fort-de-france,5,81006
le port,5,155
le port,5,34438
beauvais,5,57582
bar-le-duc,5,15585
tulle,5,15464
meximieux,5,7871
firminy,5,17389
oyonnax,5,22943
hem,5,18783
maromme,5,11045
melun,5,40348
roanne,5,35059
orange,5,29566
levallois-perret,5,64922
saint-quentin,5,55098
audruicq,5,5465
saint-joseph,5,1931
saint-joseph,5,820
saint-joseph,5,16460
saint-joseph,5,38166
angers,5,156037
aubenas,5,12933
mandelieu-la-napoule,5,22715
manosque,5,22992
nevers,5,34097
la croix-valmer,4,3901
les pennes-mirabeau,4,21321
gravelines,4,11386
versailles,4,87900
drancy,4,71605
la roche-sur-yon,4,57366
troyes,4,62828
vienne,4,29683
lens,4,31614
wittenheim,4,14430
morlaix,4,15028
le pontet,4,127
le pontet,4,17685
saint-michel-chef-chef,4,5078
cluses,4,17454
saint-junien,4,11475
mauges-sur-loire,4,18730
pierrefeu-du-var,4,6149
pontarlier,4,18033
dole,4,24606
soissons,4,29176
albertville,4,19453
orvault,4,27082
digne-les-bains,4,17329
bernay,4,10443
sarcelles,4,58849
clichy,4,61379
mont-de-marsan,4,30994
montigny-le-bretonneux,4,33396
aix-les-bains,4,30373
istres,4,43817
cavaillon,4,27075
gif-sur-yvette,4,21994
le puy-en-velay,4,19944
maussane-les-alpilles,4,2337
maubeuge,4,30258
carqueiranne,4,9868
saumur,4,27701
montauban,4,62290
rodez,4,25905
laon,4,25549
niort,4,60506
nanterre,4,95739
saint-chamond,4,35524
cavalaire-sur-mer,4,7469
carpentras,4,29144
denain,4,19921
aubervilliers,4,86597
roye,4,1582
roye,4,5848
saint-amand-les-eaux,4,16041
oloron-sainte-marie,4,11305
champagnole,4,8346
laval,4,1021
laval,4,52284
le blanc,4,6611
roquebrune-sur-argens,4,14459
tarnos,4,12580
cours,4,207
cours,4,4529
cours,4,567
carvin,4,17235
bourbon-lancy,3,5000
saint-brevin-les-pins,3,14104
bischoffsheim,3,3388
quimper,3,65480
valentigney,3,10889
tournefeuille,3,27529
rumilly,3,259
rumilly,3,15741
le soler,3,7822
montendre,3,3297
annemasse,3,36105
dorlisheim,3,2678
fouras,3,4082
les herbiers,3,16421
neuilly-plaisance,3,21268
cogolin,3,11992
gennevilliers,3,47169
marquise,3,5148
castelnau-le-lez,3,20810
villeneuve-en-retz,3,4982
revel,3,9893
revel,3,1354
cognac,3,19275
avallon,3,6791
sens,3,26519
blois,3,47715
cuers,3,11557
saint-jean-de-braye,3,21349
bayonne,3,52398
sospel,3,3901
bletterans,3,1465
saint-gervais-les-bains,3,5702
chaumont,3,54
chaumont,3,23172
chaumont,3,178
chaumont,3,506
chaumont,3,666
parentis-en-born,3,6442
halluin,3,20927
ussel,3,488
ussel,3,10124
ussel,3,97
verdun,3,230
verdun,3,18449
grigny,3,297
grigny,3,9734
grigny,3,28862
menton,3,29461
carling,3,3488
issoire,3,15226
la tour-du-pin,3,8286
berck,3,14519
carentan-les-marais,3,10306
argenteuil,3,110839
marseillan,3,93
marseillan,3,7888
marseillan,3,259
tinqueux,3,10169
marmande,3,18280
pont-saint-esprit,3,10519
limoux,3,10614
nemours,3,13215
les pavillons-sous-bois,3,24060
lescar,3,10225
vierzon,3,26441
change,3,230
bastia,3,46434
monteux,3,13131
gauchy,3,5360
barjols,3,3020
barbezieux-saint-hilaire,3,4895
craponne,3,11253
wattrelos,3,41118
vernaison,3,5052
blain,3,9963
antony,3,63319
noyon,3,13831
elne,3,9049
ploufragan,3,11898
fresnay-sur-sarthe,3,3015
lunel,3,26499
moutiers,3,255
moutiers,3,945
moutiers,3,1587
morcenx-la-nouvelle,3,5230
marignane,3,33162
gaillac,3,15621
toul,3,16113
paimpol,3,7508
narbonne,3,55876
lillers,3,10014
canet-en-roussillon,3,12376
melle,3,6540
orthez,3,11106
capbreton,3,9058
saint-herblain,3,46998
abbeville,3,23358
bourg-en-bresse,3,43306
belfort,3,48423
le loroux-bottereau,3,8360
sarrebourg,3,12351
seyssel,3,1017
seyssel,3,2399
fontaine,3,264
fontaine,3,22790
fontaine,3,617
algrange,3,6200
la plaine-des-palmistes,3,6659
bully-les-mines,3,12234
saint-claude,3,9577
saint-claude,3,10623
langres,3,8146
dax,3,21512
montreuil,3,513
montreuil,3,2144
montreuil,3,823
montreuil,3,110474
cotignac,3,2203
woippy,3,14353
saint-martin-la-plaine,3,3829
barentin,3,12034
valence,3,201
valence,3,65028
valence,3,5377
hennebont,3,16041
carcassonne,3,47365
saint-romain-de-jalionas,3,3329
epagny metz-tessy,3,8013
rive-de-gier,3,15299
le lamentin,3,40471
la tessoualle,3,3269
dourges,3,5931
meaux,3,55461
bollwiller,3,4082
chasseneuil-sur-bonnieure,3,3315
creutzwald,3,13330
luxeuil-les-bains,3,7008
toulouges,3,7000
saint-flour,3,6947
